"filename", "language", "Markdown", "JSON", "JavaScript", "HTML", "PostCSS", "comment", "blank", "total"
"c:\Users\Natha\OneDrive\Documents\PutOn\README.md", "Markdown", 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Natha\OneDrive\Documents\PutOn\assets\css\account-settings.css", "PostCSS", 0, 0, 0, 0, 337, 10, 48, 395
"c:\Users\Natha\OneDrive\Documents\PutOn\assets\css\build-outfit.css", "PostCSS", 0, 0, 0, 0, 311, 5, 41, 357
"c:\Users\Natha\OneDrive\Documents\PutOn\assets\css\create-account.css", "PostCSS", 0, 0, 0, 0, 109, 2, 16, 127
"c:\Users\Natha\OneDrive\Documents\PutOn\assets\css\drop-down-menu.css", "PostCSS", 0, 0, 0, 0, 134, 1, 24, 159
"c:\Users\Natha\OneDrive\Documents\PutOn\assets\css\explore.css", "PostCSS", 0, 0, 0, 0, 522, 4, 76, 602
"c:\Users\Natha\OneDrive\Documents\PutOn\assets\css\footer.css", "PostCSS", 0, 0, 0, 0, 71, 0, 11, 82
"c:\Users\Natha\OneDrive\Documents\PutOn\assets\css\header.css", "PostCSS", 0, 0, 0, 0, 80, 2, 11, 93
"c:\Users\Natha\OneDrive\Documents\PutOn\assets\css\homepage.css", "PostCSS", 0, 0, 0, 0, 198, 7, 31, 236
"c:\Users\Natha\OneDrive\Documents\PutOn\assets\css\preferences.css", "PostCSS", 0, 0, 0, 0, 46, 0, 5, 51
"c:\Users\Natha\OneDrive\Documents\PutOn\assets\css\virtual-wardrobe.css", "PostCSS", 0, 0, 0, 0, 418, 12, 77, 507
"c:\Users\Natha\OneDrive\Documents\PutOn\assets\css\wishlist.css", "PostCSS", 0, 0, 0, 0, 358, 10, 66, 434
"c:\Users\Natha\OneDrive\Documents\PutOn\assets\js\components\dropdown.js", "JavaScript", 0, 0, 28, 0, 0, 1, 6, 35
"c:\Users\Natha\OneDrive\Documents\PutOn\assets\js\components\footer.js", "JavaScript", 0, 0, 5, 0, 0, 1, 0, 6
"c:\Users\Natha\OneDrive\Documents\PutOn\assets\js\components\generate-json.cjs", "JavaScript", 0, 0, 37, 0, 0, 2, 11, 50
"c:\Users\Natha\OneDrive\Documents\PutOn\assets\js\components\header.js", "JavaScript", 0, 0, 20, 0, 0, 1, 2, 23
