"filename", "language", "JSON", "HTML", "JavaScript", "PostCSS", "comment", "blank", "total"
"c:\Users\Natha\OneDrive\Documents\PutOn\assets\css\account-settings.css", "PostCSS", 0, 0, 0, 103, 5, 17, 125
"c:\Users\Natha\OneDrive\Documents\PutOn\assets\css\explore.css", "PostCSS", 0, 0, 0, 165, 6, 26, 197
"c:\Users\Natha\OneDrive\Documents\PutOn\assets\css\new-post.css", "PostCSS", 0, 0, 0, 282, 0, 53, 335
"c:\Users\Natha\OneDrive\Documents\PutOn\assets\css\virtual-wardrobe.css", "PostCSS", 0, 0, 0, 114, 11, 20, 145
"c:\Users\Natha\OneDrive\Documents\PutOn\assets\css\wishlist.css", "PostCSS", 0, 0, 0, 135, 5, 11, 151
"c:\Users\Natha\OneDrive\Documents\PutOn\assets\js\components\load-user.js", "JavaScript", 0, 0, 31, 0, 0, 0, 31
"c:\Users\Natha\OneDrive\Documents\PutOn\assets\js\components\scroll-images.js", "JavaScript", 0, 0, 252, 0, -43, -3, 206
"c:\Users\Natha\OneDrive\Documents\PutOn\assets\js\pages\build-outfit.js", "JavaScript", 0, 0, -16, 0, 0, 0, -16
"c:\Users\Natha\OneDrive\Documents\PutOn\assets\js\pages\explore-page.js", "JavaScript", 0, 0, 234, 0, 7, 14, 255
"c:\Users\Natha\OneDrive\Documents\PutOn\assets\js\pages\new-post.js", "JavaScript", 0, 0, 150, 0, 10, 21, 181
"c:\Users\Natha\OneDrive\Documents\PutOn\assets\js\pages\settings.js", "JavaScript", 0, 0, 122, 0, 7, 17, 146
"c:\Users\Natha\OneDrive\Documents\PutOn\assets\js\pages\virtual-wardrobe.js", "JavaScript", 0, 0, 33, 0, 2, 5, 40
"c:\Users\Natha\OneDrive\Documents\PutOn\data\images.json", "JSON", 826, 0, 0, 0, 0, 0, 826
"c:\Users\Natha\OneDrive\Documents\PutOn\package-lock.json", "JSON", 135, 0, 0, 0, 0, 0, 135
"c:\Users\Natha\OneDrive\Documents\PutOn\package.json", "JSON", 1, 0, 0, 0, 0, 0, 1
"c:\Users\Natha\OneDrive\Documents\PutOn\pages\new-post.html", "HTML", 0, 84, 0, 0, 0, 11, 95
"c:\Users\Natha\OneDrive\Documents\PutOn\pages\virtual-wardrobe.html", "HTML", 0, -8, 0, 0, 0, 0, -8
"c:\Users\Natha\OneDrive\Documents\PutOn\server.js", "JavaScript", 0, 0, 357, 0, 42, 54, 453
"Total", "-", 962, 76, 1163, 799, 52, 246, 3298
