"filename", "language", "JavaScript", "HTML", "PostCSS", "JSON", "comment", "blank", "total"
"c:\Users\Natha\OneDrive\Documents\PutOn\assets\css\account-settings.css", "PostCSS", 0, 0, 701, 0, 10, 112, 823
"c:\Users\Natha\OneDrive\Documents\PutOn\assets\css\brand-detail.css", "PostCSS", 0, 0, 215, 0, 0, 39, 254
"c:\Users\Natha\OneDrive\Documents\PutOn\assets\css\brand-of-the-day.css", "PostCSS", 0, 0, 343, 0, 3, 60, 406
"c:\Users\Natha\OneDrive\Documents\PutOn\assets\css\build-outfit.css", "PostCSS", 0, 0, 154, 0, 0, 23, 177
"c:\Users\Natha\OneDrive\Documents\PutOn\assets\css\explore.css", "PostCSS", 0, 0, -20, 0, 0, -1, -21
"c:\Users\Natha\OneDrive\Documents\PutOn\assets\css\follow-page.css", "PostCSS", 0, 0, 198, 0, 1, 33, 232
"c:\Users\Natha\OneDrive\Documents\PutOn\assets\css\new-post.css", "PostCSS", 0, 0, 138, 0, 1, 21, 160
"c:\Users\Natha\OneDrive\Documents\PutOn\assets\css\profile.css", "PostCSS", 0, 0, 844, 0, 10, 136, 990
"c:\Users\Natha\OneDrive\Documents\PutOn\assets\css\virtual-wardrobe.css", "PostCSS", 0, 0, 542, 0, 11, 76, 629
"c:\Users\Natha\OneDrive\Documents\PutOn\assets\css\wishlist.css", "PostCSS", 0, 0, 33, 0, 2, 5, 40
"c:\Users\Natha\OneDrive\Documents\PutOn\assets\js\components\header.js", "JavaScript", -1, 0, 0, 0, 0, 0, -1
"c:\Users\Natha\OneDrive\Documents\PutOn\assets\js\components\load-user.js", "JavaScript", 13, 0, 0, 0, 0, 0, 13
"c:\Users\Natha\OneDrive\Documents\PutOn\assets\js\components\scroll-images.js", "JavaScript", -120, 0, 0, 0, 4, 51, -65
"c:\Users\Natha\OneDrive\Documents\PutOn\assets\js\pages\brand-of-the-day.js", "JavaScript", 13, 0, 0, 0, 6, 2, 21
"c:\Users\Natha\OneDrive\Documents\PutOn\assets\js\pages\build-outfit.js", "JavaScript", 198, 0, 0, 0, 64, 108, 370
"c:\Users\Natha\OneDrive\Documents\PutOn\assets\js\pages\explore-page.js", "JavaScript", -153, 0, 0, 0, 37, 6, -110
"c:\Users\Natha\OneDrive\Documents\PutOn\assets\js\pages\new-post.js", "JavaScript", 70, 0, 0, 0, -2, 12, 80
"c:\Users\Natha\OneDrive\Documents\PutOn\assets\js\pages\profile.js", "JavaScript", 625, 0, 0, 0, 46, 90, 761
"c:\Users\Natha\OneDrive\Documents\PutOn\assets\js\pages\settings.js", "JavaScript", 864, 0, 0, 0, 35, 96, 995
"c:\Users\Natha\OneDrive\Documents\PutOn\assets\js\pages\virtual-wardrobe.js", "JavaScript", 573, 0, 0, 0, 62, 126, 761
"c:\Users\Natha\OneDrive\Documents\PutOn\assets\js\pages\wishlist.js", "JavaScript", 163, 0, 0, 0, 14, 18, 195
"c:\Users\Natha\OneDrive\Documents\PutOn\components\header.html", "HTML", 0, 1, 0, 0, 0, 0, 1
"c:\Users\Natha\OneDrive\Documents\PutOn\data\images.json", "JSON", 0, 0, 0, 733, 0, 0, 733
"c:\Users\Natha\OneDrive\Documents\PutOn\pages\account-settings.html", "HTML", 0, 150, 0, 0, 13, 20, 183
"c:\Users\Natha\OneDrive\Documents\PutOn\pages\brand-detail.html", "HTML", 0, 105, 0, 0, 4, 15, 124
"c:\Users\Natha\OneDrive\Documents\PutOn\pages\brand-of-the-day.html", "HTML", 0, 218, 0, 0, 10, 11, 239
"c:\Users\Natha\OneDrive\Documents\PutOn\pages\build-outfit.html", "HTML", 0, 12, 0, 0, 0, 0, 12
"c:\Users\Natha\OneDrive\Documents\PutOn\pages\follow-page.html", "HTML", 0, 226, 0, 0, 0, 25, 251
"c:\Users\Natha\OneDrive\Documents\PutOn\pages\new-post.html", "HTML", 0, 18, 0, 0, 2, 3, 23
"c:\Users\Natha\OneDrive\Documents\PutOn\pages\profile.html", "HTML", 0, 143, 0, 0, 7, 17, 167
"c:\Users\Natha\OneDrive\Documents\PutOn\pages\virtual-wardrobe.html", "HTML", 0, 255, 0, 0, 15, 17, 287
"c:\Users\Natha\OneDrive\Documents\PutOn\pages\wishlist.html", "HTML", 0, 59, 0, 0, 6, 12, 77
"c:\Users\Natha\OneDrive\Documents\PutOn\server.js", "JavaScript", 643, 0, 0, 0, 44, 110, 797
"Total", "-", 2888, 1187, 3148, 733, 405, 1243, 9604
